SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/127/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 7033 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.477e+02    -1.464e+02  
T     =      12.083s       12.120s  

RSS   =    4.725e-02
SD    =    3.969e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.089e+00    8.884e-02
    2       2.000s     9.316e-01     9.705e-01    3.891e-02
    3       3.000s     8.831e-01     8.641e-01   -1.904e-02
    4       4.000s     8.328e-01     7.685e-01   -6.434e-02
    5       5.000s     7.675e-01     6.826e-01   -8.497e-02
    6       6.000s     6.838e-01     6.054e-01   -7.835e-02
    7       7.000s     5.872e-01     5.363e-01   -5.096e-02
    8       8.000s     4.917e-01     4.743e-01   -1.748e-02
    9       9.000s     4.102e-01     4.187e-01    8.540e-03
   10      10.000s     3.449e-01     3.690e-01    2.410e-02
   11      11.000s     2.909e-01     3.245e-01    3.368e-02
   12      12.000s     2.450e-01     2.848e-01    3.977e-02
   13      13.000s     2.079e-01     2.493e-01    4.142e-02
   14      14.000s     1.783e-01     2.177e-01    3.942e-02
   15      15.000s     1.528e-01     1.895e-01    3.667e-02
   16      16.000s     1.306e-01     1.644e-01    3.378e-02
   17      17.000s     1.131e-01     1.421e-01    2.908e-02
   18      18.000s     9.964e-02     1.223e-01    2.269e-02
   19      19.000s     8.803e-02     1.048e-01    1.675e-02
   20      20.000s     7.756e-02     8.925e-02    1.169e-02
   21      21.000s     6.948e-02     7.552e-02    6.037e-03
   22      22.000s     6.375e-02     6.340e-02   -3.469e-04
   23      23.000s     5.867e-02     5.273e-02   -5.935e-03
   24      24.000s     5.382e-02     4.336e-02   -1.046e-02
   25      25.000s     5.055e-02     3.514e-02   -1.541e-02
   26      26.000s     4.934e-02     2.795e-02   -2.139e-02
   27      27.000s     4.916e-02     2.169e-02   -2.748e-02
   28      28.000s     4.935e-02     1.624e-02   -3.312e-02
   29      29.000s     5.022e-02     1.151e-02   -3.870e-02
   30      30.000s     5.165e-02     7.439e-03   -4.421e-02

============================================================

