SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/151/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 7742 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.722e+02    -1.709e+02  
T     =       8.455s        8.469s  

RSS   =    1.685e-02
SD    =    2.370e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.063e+00    6.263e-02
    2       2.000s     9.192e-01     9.173e-01   -1.935e-03
    3       3.000s     8.253e-01     7.911e-01   -3.418e-02
    4       4.000s     7.261e-01     6.817e-01   -4.444e-02
    5       5.000s     6.270e-01     5.868e-01   -4.019e-02
    6       6.000s     5.313e-01     5.047e-01   -2.669e-02
    7       7.000s     4.433e-01     4.335e-01   -9.842e-03
    8       8.000s     3.669e-01     3.719e-01    5.034e-03
    9       9.000s     3.030e-01     3.187e-01    1.571e-02
   10      10.000s     2.504e-01     2.727e-01    2.229e-02
   11      11.000s     2.079e-01     2.330e-01    2.511e-02
   12      12.000s     1.741e-01     1.988e-01    2.475e-02
   13      13.000s     1.466e-01     1.693e-01    2.276e-02
   14      14.000s     1.234e-01     1.439e-01    2.055e-02
   15      15.000s     1.040e-01     1.221e-01    1.808e-02
   16      16.000s     8.849e-02     1.033e-01    1.485e-02
   17      17.000s     7.606e-02     8.724e-02    1.118e-02
   18      18.000s     6.571e-02     7.346e-02    7.743e-03
   19      19.000s     5.720e-02     6.166e-02    4.459e-03
   20      20.000s     5.056e-02     5.158e-02    1.022e-03
   21      21.000s     4.526e-02     4.298e-02   -2.283e-03
   22      22.000s     4.077e-02     3.566e-02   -5.111e-03
   23      23.000s     3.725e-02     2.943e-02   -7.815e-03
   24      24.000s     3.505e-02     2.415e-02   -1.090e-02
   25      25.000s     3.394e-02     1.968e-02   -1.425e-02
   26      26.000s     3.350e-02     1.591e-02   -1.759e-02
   27      27.000s     3.383e-02     1.273e-02   -2.110e-02
   28      28.000s     3.504e-02     1.007e-02   -2.497e-02
   29      29.000s     3.666e-02     7.839e-03   -2.882e-02
   30      30.000s     3.809e-02     5.981e-03   -3.211e-02

============================================================

