SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/17/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 329 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.284e+00     4.108e-02  
T     =       3.912s      133.937s  

RSS   =    5.822e-03
SD    =    1.393e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.035e+00    3.528e-02
    2       2.000s     8.461e-01     8.107e-01   -3.545e-02
    3       3.000s     6.725e-01     6.367e-01   -3.585e-02
    4       4.000s     5.108e-01     5.018e-01   -8.974e-03
    5       5.000s     3.831e-01     3.973e-01    1.420e-02
    6       6.000s     2.933e-01     3.164e-01    2.301e-02
    7       7.000s     2.323e-01     2.536e-01    2.130e-02
    8       8.000s     1.895e-01     2.049e-01    1.541e-02
    9       9.000s     1.588e-01     1.671e-01    8.285e-03
   10      10.000s     1.366e-01     1.378e-01    1.193e-03
   11      11.000s     1.194e-01     1.150e-01   -4.353e-03
   12      12.000s     1.049e-01     9.734e-02   -7.567e-03
   13      13.000s     9.263e-02     8.358e-02   -9.050e-03
   14      14.000s     8.230e-02     7.286e-02   -9.441e-03
   15      15.000s     7.315e-02     6.450e-02   -8.649e-03
   16      16.000s     6.480e-02     5.796e-02   -6.838e-03
   17      17.000s     5.775e-02     5.284e-02   -4.909e-03
   18      18.000s     5.225e-02     4.881e-02   -3.431e-03
   19      19.000s     4.768e-02     4.564e-02   -2.045e-03
   20      20.000s     4.351e-02     4.312e-02   -3.916e-04
   21      21.000s     3.994e-02     4.111e-02    1.175e-03
   22      22.000s     3.728e-02     3.950e-02    2.224e-03
   23      23.000s     3.534e-02     3.819e-02    2.851e-03
   24      24.000s     3.389e-02     3.713e-02    3.233e-03
   25      25.000s     3.301e-02     3.624e-02    3.231e-03
   26      26.000s     3.269e-02     3.550e-02    2.813e-03
   27      27.000s     3.260e-02     3.487e-02    2.271e-03
   28      28.000s     3.268e-02     3.433e-02    1.648e-03
   29      29.000s     3.339e-02     3.386e-02    4.647e-04
   30      30.000s     3.504e-02     3.344e-02   -1.601e-03

============================================================

