SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/214/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 434 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.199e+00     5.166e-02  
T     =       4.751s     1076.141s  

RSS   =    2.121e-03
SD    =    8.407e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.023e+00    2.273e-02
    2       2.000s     8.590e-01     8.384e-01   -2.060e-02
    3       3.000s     7.108e-01     6.890e-01   -2.186e-02
    4       4.000s     5.749e-01     5.679e-01   -6.934e-03
    5       5.000s     4.640e-01     4.699e-01    5.841e-03
    6       6.000s     3.789e-01     3.904e-01    1.150e-02
    7       7.000s     3.136e-01     3.260e-01    1.244e-02
    8       8.000s     2.633e-01     2.738e-01    1.051e-02
    9       9.000s     2.252e-01     2.315e-01    6.339e-03
   10      10.000s     1.956e-01     1.973e-01    1.649e-03
   11      11.000s     1.711e-01     1.695e-01   -1.654e-03
   12      12.000s     1.505e-01     1.470e-01   -3.554e-03
   13      13.000s     1.337e-01     1.287e-01   -4.937e-03
   14      14.000s     1.196e-01     1.139e-01   -5.672e-03
   15      15.000s     1.072e-01     1.019e-01   -5.275e-03
   16      16.000s     9.651e-02     9.222e-02   -4.291e-03
   17      17.000s     8.783e-02     8.433e-02   -3.501e-03
   18      18.000s     8.058e-02     7.793e-02   -2.648e-03
   19      19.000s     7.397e-02     7.273e-02   -1.240e-03
   20      20.000s     6.829e-02     6.852e-02    2.253e-04
   21      21.000s     6.407e-02     6.509e-02    1.025e-03
   22      22.000s     6.087e-02     6.231e-02    1.439e-03
   23      23.000s     5.795e-02     6.004e-02    2.095e-03
   24      24.000s     5.545e-02     5.820e-02    2.747e-03
   25      25.000s     5.392e-02     5.669e-02    2.768e-03
   26      26.000s     5.322e-02     5.547e-02    2.244e-03
   27      27.000s     5.285e-02     5.446e-02    1.611e-03
   28      28.000s     5.293e-02     5.364e-02    7.163e-04
   29      29.000s     5.381e-02     5.297e-02   -8.366e-04
   30      30.000s     5.529e-02     5.241e-02   -2.878e-03

============================================================

