SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/222/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 562 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    4.679e-01     6.899e-01  
T     =       3.792s       11.425s  

RSS   =    8.797e-04
SD    =    5.415e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     9.915e-01   -8.461e-03
    2       2.000s     8.510e-01     8.552e-01    4.274e-03
    3       3.000s     7.303e-01     7.427e-01    1.237e-02
    4       4.000s     6.424e-01     6.491e-01    6.670e-03
    5       5.000s     5.723e-01     5.705e-01   -1.753e-03
    6       6.000s     5.099e-01     5.042e-01   -5.744e-03
    7       7.000s     4.545e-01     4.477e-01   -6.821e-03
    8       8.000s     4.062e-01     3.993e-01   -6.915e-03
    9       9.000s     3.629e-01     3.574e-01   -5.495e-03
   10      10.000s     3.241e-01     3.210e-01   -3.065e-03
   11      11.000s     2.905e-01     2.891e-01   -1.379e-03
   12      12.000s     2.615e-01     2.611e-01   -4.034e-04
   13      13.000s     2.351e-01     2.363e-01    1.248e-03
   14      14.000s     2.109e-01     2.143e-01    3.327e-03
   15      15.000s     1.902e-01     1.946e-01    4.344e-03
   16      16.000s     1.726e-01     1.769e-01    4.339e-03
   17      17.000s     1.565e-01     1.611e-01    4.632e-03
   18      18.000s     1.415e-01     1.468e-01    5.278e-03
   19      19.000s     1.287e-01     1.339e-01    5.158e-03
   20      20.000s     1.180e-01     1.222e-01    4.250e-03
   21      21.000s     1.080e-01     1.116e-01    3.598e-03
   22      22.000s     9.876e-02     1.020e-01    3.244e-03
   23      23.000s     9.106e-02     9.324e-02    2.185e-03
   24      24.000s     8.495e-02     8.527e-02    3.182e-04
   25      25.000s     7.939e-02     7.800e-02   -1.392e-03
   26      26.000s     7.403e-02     7.137e-02   -2.666e-03
   27      27.000s     6.953e-02     6.531e-02   -4.219e-03
   28      28.000s     6.608e-02     5.978e-02   -6.295e-03
   29      29.000s     6.312e-02     5.473e-02   -8.393e-03
   30      30.000s     6.062e-02     5.011e-02   -1.051e-02

============================================================

