SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/225/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 150 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.362e+00    -1.364e-01  
T     =       4.770s        4.770s  

RSS   =    1.054e-02
SD    =    1.874e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     9.938e-01   -6.224e-03
    2       2.000s     8.266e-01     8.058e-01   -2.075e-02
    3       3.000s     6.602e-01     6.534e-01   -6.747e-03
    4       4.000s     5.173e-01     5.298e-01    1.259e-02
    5       5.000s     4.041e-01     4.296e-01    2.553e-02
    6       6.000s     3.202e-01     3.484e-01    2.816e-02
    7       7.000s     2.598e-01     2.825e-01    2.265e-02
    8       8.000s     2.151e-01     2.291e-01    1.399e-02
    9       9.000s     1.803e-01     1.857e-01    5.484e-03
   10      10.000s     1.529e-01     1.506e-01   -2.305e-03
   11      11.000s     1.313e-01     1.221e-01   -9.149e-03
   12      12.000s     1.131e-01     9.903e-02   -1.407e-02
   13      13.000s     9.713e-02     8.030e-02   -1.683e-02
   14      14.000s     8.363e-02     6.512e-02   -1.851e-02
   15      15.000s     7.266e-02     5.280e-02   -1.986e-02
   16      16.000s     6.321e-02     4.281e-02   -2.040e-02
   17      17.000s     5.464e-02     3.472e-02   -1.992e-02
   18      18.000s     4.743e-02     2.815e-02   -1.928e-02
   19      19.000s     4.202e-02     2.283e-02   -1.919e-02
   20      20.000s     3.777e-02     1.851e-02   -1.926e-02
   21      21.000s     3.398e-02     1.501e-02   -1.897e-02
   22      22.000s     3.090e-02     1.217e-02   -1.873e-02
   23      23.000s     2.897e-02     9.869e-03   -1.910e-02
   24      24.000s     2.784e-02     8.002e-03   -1.984e-02
   25      25.000s     2.688e-02     6.489e-03   -2.039e-02
   26      26.000s     2.605e-02     5.262e-03   -2.079e-02
   27      27.000s     2.565e-02     4.267e-03   -2.139e-02
   28      28.000s     2.575e-02     3.460e-03   -2.229e-02
   29      29.000s     2.627e-02     2.805e-03   -2.346e-02
   30      30.000s     2.737e-02     2.275e-03   -2.510e-02

============================================================

