SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/335/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 457 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    4.026e-02     1.262e+00  
T     =     213.025s        4.064s  

RSS   =    3.361e-03
SD    =    1.058e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.026e+00    2.647e-02
    2       2.000s     8.369e-01     8.111e-01   -2.581e-02
    3       3.000s     6.689e-01     6.427e-01   -2.618e-02
    4       4.000s     5.191e-01     5.110e-01   -8.107e-03
    5       5.000s     3.996e-01     4.080e-01    8.420e-03
    6       6.000s     3.108e-01     3.274e-01    1.655e-02
    7       7.000s     2.471e-01     2.643e-01    1.723e-02
    8       8.000s     2.016e-01     2.150e-01    1.339e-02
    9       9.000s     1.689e-01     1.764e-01    7.446e-03
   10      10.000s     1.448e-01     1.461e-01    1.347e-03
   11      11.000s     1.259e-01     1.225e-01   -3.476e-03
   12      12.000s     1.104e-01     1.039e-01   -6.518e-03
   13      13.000s     9.736e-02     8.937e-02   -7.987e-03
   14      14.000s     8.609e-02     7.797e-02   -8.126e-03
   15      15.000s     7.617e-02     6.901e-02   -7.159e-03
   16      16.000s     6.758e-02     6.196e-02   -5.618e-03
   17      17.000s     6.050e-02     5.642e-02   -4.080e-03
   18      18.000s     5.468e-02     5.205e-02   -2.627e-03
   19      19.000s     4.965e-02     4.859e-02   -1.060e-03
   20      20.000s     4.536e-02     4.585e-02    4.979e-04
   21      21.000s     4.201e-02     4.367e-02    1.669e-03
   22      22.000s     3.953e-02     4.193e-02    2.407e-03
   23      23.000s     3.755e-02     4.054e-02    2.986e-03
   24      24.000s     3.595e-02     3.941e-02    3.455e-03
   25      25.000s     3.494e-02     3.849e-02    3.551e-03
   26      26.000s     3.461e-02     3.774e-02    3.125e-03
   27      27.000s     3.488e-02     3.711e-02    2.234e-03
   28      28.000s     3.576e-02     3.659e-02    8.278e-04
   29      29.000s     3.734e-02     3.614e-02   -1.203e-03
   30      30.000s     3.940e-02     3.576e-02   -3.641e-03

============================================================

