SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl6/data/BR1_BIF_5_noesypr1d_afterHSQC/1000/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.199e+00     3.324e-02  
T     =       5.130s    184531985930835.500s  

RSS   =    1.214e-03
SD    =    6.361e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.020e+00    2.021e-02
    2       2.000s     8.596e-01     8.454e-01   -1.422e-02
    3       3.000s     7.188e-01     7.016e-01   -1.726e-02
    4       4.000s     5.916e-01     5.832e-01   -8.347e-03
    5       5.000s     4.850e-01     4.858e-01    7.678e-04
    6       6.000s     3.998e-01     4.057e-01    5.882e-03
    7       7.000s     3.324e-01     3.397e-01    7.313e-03
    8       8.000s     2.790e-01     2.854e-01    6.399e-03
    9       9.000s     2.365e-01     2.408e-01    4.279e-03
   10      10.000s     2.019e-01     2.040e-01    2.122e-03
   11      11.000s     1.730e-01     1.738e-01    7.546e-04
   12      12.000s     1.488e-01     1.489e-01    8.575e-05
   13      13.000s     1.288e-01     1.284e-01   -3.802e-04
   14      14.000s     1.122e-01     1.115e-01   -6.618e-04
   15      15.000s     9.817e-02     9.768e-02   -4.885e-04
   16      16.000s     8.628e-02     8.627e-02   -1.931e-05
   17      17.000s     7.658e-02     7.687e-02    2.956e-04
   18      18.000s     6.875e-02     6.915e-02    3.992e-04
   19      19.000s     6.219e-02     6.279e-02    5.934e-04
   20      20.000s     5.661e-02     5.756e-02    9.419e-04
   21      21.000s     5.204e-02     5.325e-02    1.208e-03
   22      22.000s     4.841e-02     4.971e-02    1.301e-03
   23      23.000s     4.548e-02     4.679e-02    1.311e-03
   24      24.000s     4.321e-02     4.439e-02    1.179e-03
   25      25.000s     4.169e-02     4.242e-02    7.254e-04
   26      26.000s     4.081e-02     4.079e-02   -1.733e-05
   27      27.000s     4.037e-02     3.945e-02   -9.118e-04
   28      28.000s     4.050e-02     3.835e-02   -2.147e-03
   29      29.000s     4.162e-02     3.745e-02   -4.175e-03
   30      30.000s     4.384e-02     3.670e-02   -7.140e-03

============================================================

