SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl6/data/BR1_BIF_5_noesypr1d_afterHSQC/1000/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 226 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.166e+00     9.262e-02  
T     =       4.355s       54.970s  

RSS   =    1.441e-03
SD    =    6.932e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.018e+00    1.767e-02
    2       2.000s     8.445e-01     8.259e-01   -1.858e-02
    3       3.000s     6.892e-01     6.731e-01   -1.603e-02
    4       4.000s     5.552e-01     5.514e-01   -3.737e-03
    5       5.000s     4.485e-01     4.544e-01    5.941e-03
    6       6.000s     3.665e-01     3.770e-01    1.052e-02
    7       7.000s     3.045e-01     3.152e-01    1.067e-02
    8       8.000s     2.579e-01     2.658e-01    7.881e-03
    9       9.000s     2.222e-01     2.262e-01    4.011e-03
   10      10.000s     1.942e-01     1.945e-01    3.473e-04
   11      11.000s     1.718e-01     1.691e-01   -2.699e-03
   12      12.000s     1.534e-01     1.486e-01   -4.842e-03
   13      13.000s     1.377e-01     1.320e-01   -5.638e-03
   14      14.000s     1.238e-01     1.186e-01   -5.161e-03
   15      15.000s     1.119e-01     1.077e-01   -4.172e-03
   16      16.000s     1.021e-01     9.881e-02   -3.260e-03
   17      17.000s     9.383e-02     9.149e-02   -2.340e-03
   18      18.000s     8.667e-02     8.544e-02   -1.227e-03
   19      19.000s     8.053e-02     8.040e-02   -1.266e-04
   20      20.000s     7.547e-02     7.618e-02    7.023e-04
   21      21.000s     7.127e-02     7.259e-02    1.320e-03
   22      22.000s     6.767e-02     6.953e-02    1.863e-03
   23      23.000s     6.460e-02     6.688e-02    2.283e-03
   24      24.000s     6.204e-02     6.456e-02    2.529e-03
   25      25.000s     5.987e-02     6.252e-02    2.646e-03
   26      26.000s     5.817e-02     6.069e-02    2.518e-03
   27      27.000s     5.721e-02     5.904e-02    1.830e-03
   28      28.000s     5.709e-02     5.753e-02    4.414e-04
   29      29.000s     5.763e-02     5.614e-02   -1.481e-03
   30      30.000s     5.866e-02     5.485e-02   -3.811e-03

============================================================

