SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl6/data/BR1_BIF_5_noesypr1d_beforeHSQC/2000/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.205e+00     2.935e-02  
T     =       5.412s    129066935907576.203s  

RSS   =    2.637e-03
SD    =    9.375e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.031e+00    3.112e-02
    2       2.000s     8.795e-01     8.621e-01   -1.737e-02
    3       3.000s     7.471e-01     7.216e-01   -2.547e-02
    4       4.000s     6.212e-01     6.048e-01   -1.636e-02
    5       5.000s     5.119e-01     5.077e-01   -4.138e-03
    6       6.000s     4.221e-01     4.270e-01    4.901e-03
    7       7.000s     3.505e-01     3.599e-01    9.487e-03
    8       8.000s     2.937e-01     3.042e-01    1.045e-02
    9       9.000s     2.488e-01     2.578e-01    9.029e-03
   10      10.000s     2.127e-01     2.193e-01    6.525e-03
   11      11.000s     1.831e-01     1.872e-01    4.091e-03
   12      12.000s     1.583e-01     1.606e-01    2.324e-03
   13      13.000s     1.372e-01     1.384e-01    1.214e-03
   14      14.000s     1.194e-01     1.200e-01    5.954e-04
   15      15.000s     1.044e-01     1.047e-01    3.671e-04
   16      16.000s     9.169e-02     9.202e-02    3.254e-04
   17      17.000s     8.126e-02     8.145e-02    1.893e-04
   18      18.000s     7.272e-02     7.266e-02   -6.573e-05
   19      19.000s     6.555e-02     6.535e-02   -2.039e-04
   20      20.000s     5.942e-02     5.928e-02   -1.459e-04
   21      21.000s     5.432e-02     5.423e-02   -9.589e-05
   22      22.000s     5.022e-02     5.003e-02   -1.880e-04
   23      23.000s     4.686e-02     4.654e-02   -3.163e-04
   24      24.000s     4.406e-02     4.364e-02   -4.201e-04
   25      25.000s     4.187e-02     4.123e-02   -6.448e-04
   26      26.000s     4.032e-02     3.923e-02   -1.098e-03
   27      27.000s     3.929e-02     3.756e-02   -1.726e-03
   28      28.000s     3.874e-02     3.617e-02   -2.570e-03
   29      29.000s     3.892e-02     3.502e-02   -3.895e-03
   30      30.000s     3.997e-02     3.407e-02   -5.902e-03

============================================================

