SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl6/data/BR1_BIF_5_noesypr1d_beforeHSQC/2000/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 253 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.174e+00     6.988e-02  
T     =       4.706s       88.683s  

RSS   =    1.351e-03
SD    =    6.710e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.018e+00    1.843e-02
    2       2.000s     8.535e-01     8.359e-01   -1.761e-02
    3       3.000s     7.045e-01     6.882e-01   -1.631e-02
    4       4.000s     5.738e-01     5.686e-01   -5.244e-03
    5       5.000s     4.678e-01     4.718e-01    3.992e-03
    6       6.000s     3.843e-01     3.934e-01    9.101e-03
    7       7.000s     3.196e-01     3.298e-01    1.026e-02
    8       8.000s     2.701e-01     2.783e-01    8.229e-03
    9       9.000s     2.318e-01     2.365e-01    4.719e-03
   10      10.000s     2.012e-01     2.026e-01    1.476e-03
   11      11.000s     1.760e-01     1.751e-01   -9.272e-04
   12      12.000s     1.554e-01     1.527e-01   -2.719e-03
   13      13.000s     1.384e-01     1.345e-01   -3.900e-03
   14      14.000s     1.239e-01     1.196e-01   -4.265e-03
   15      15.000s     1.115e-01     1.075e-01   -4.004e-03
   16      16.000s     1.011e-01     9.752e-02   -3.540e-03
   17      17.000s     9.233e-02     8.937e-02   -2.959e-03
   18      18.000s     8.477e-02     8.266e-02   -2.110e-03
   19      19.000s     7.823e-02     7.711e-02   -1.122e-03
   20      20.000s     7.285e-02     7.252e-02   -3.294e-04
   21      21.000s     6.848e-02     6.869e-02    2.093e-04
   22      22.000s     6.475e-02     6.548e-02    7.287e-04
   23      23.000s     6.143e-02     6.277e-02    1.341e-03
   24      24.000s     5.856e-02     6.047e-02    1.910e-03
   25      25.000s     5.623e-02     5.850e-02    2.276e-03
   26      26.000s     5.448e-02     5.680e-02    2.328e-03
   27      27.000s     5.341e-02     5.532e-02    1.914e-03
   28      28.000s     5.309e-02     5.402e-02    9.352e-04
   29      29.000s     5.337e-02     5.286e-02   -5.080e-04
   30      30.000s     5.409e-02     5.183e-02   -2.266e-03

============================================================

