SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl6/data/BR1_BIF_5_noesypr1d/41/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.157e+00     3.590e-02  
T     =       5.956s    1363452754002432.750s  

RSS   =    8.892e-04
SD    =    5.444e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.014e+00    1.431e-02
    2       2.000s     8.663e-01     8.631e-01   -3.243e-03
    3       3.000s     7.422e-01     7.352e-01   -6.970e-03
    4       4.000s     6.345e-01     6.271e-01   -7.334e-03
    5       5.000s     5.427e-01     5.358e-01   -6.948e-03
    6       6.000s     4.644e-01     4.585e-01   -5.867e-03
    7       7.000s     3.970e-01     3.932e-01   -3.833e-03
    8       8.000s     3.389e-01     3.380e-01   -9.772e-04
    9       9.000s     2.894e-01     2.913e-01    1.906e-03
   10      10.000s     2.479e-01     2.518e-01    3.915e-03
   11      11.000s     2.136e-01     2.184e-01    4.861e-03
   12      12.000s     1.851e-01     1.902e-01    5.152e-03
   13      13.000s     1.613e-01     1.664e-01    5.058e-03
   14      14.000s     1.416e-01     1.462e-01    4.615e-03
   15      15.000s     1.251e-01     1.292e-01    4.046e-03
   16      16.000s     1.110e-01     1.147e-01    3.728e-03
   17      17.000s     9.883e-02     1.026e-01    3.732e-03
   18      18.000s     8.843e-02     9.226e-02    3.827e-03
   19      19.000s     7.970e-02     8.355e-02    3.847e-03
   20      20.000s     7.246e-02     7.618e-02    3.722e-03
   21      21.000s     6.669e-02     6.996e-02    3.265e-03
   22      22.000s     6.237e-02     6.469e-02    2.326e-03
   23      23.000s     5.913e-02     6.024e-02    1.110e-03
   24      24.000s     5.654e-02     5.648e-02   -5.484e-05
   25      25.000s     5.453e-02     5.330e-02   -1.228e-03
   26      26.000s     5.339e-02     5.061e-02   -2.774e-03
   27      27.000s     5.311e-02     4.834e-02   -4.770e-03
   28      28.000s     5.324e-02     4.642e-02   -6.823e-03
   29      29.000s     5.336e-02     4.479e-02   -8.564e-03
   30      30.000s     5.345e-02     4.342e-02   -1.003e-02

============================================================

