SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/44/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 1610 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.278e+00    -1.371e+03  
T     =       4.934s       96.531m  

RSS   =    1.520e-02
SD    =    2.251e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.000e+00    3.082e-06
    2       2.000s     8.689e-01     8.520e-01   -1.684e-02
    3       3.000s     7.167e-01     6.957e-01   -2.097e-02
    4       4.000s     5.680e-01     5.681e-01    9.932e-05
    5       5.000s     4.434e-01     4.639e-01    2.047e-02
    6       6.000s     3.494e-01     3.788e-01    2.943e-02
    7       7.000s     2.801e-01     3.093e-01    2.918e-02
    8       8.000s     2.283e-01     2.526e-01    2.427e-02
    9       9.000s     1.898e-01     2.062e-01    1.639e-02
   10      10.000s     1.616e-01     1.684e-01    6.777e-03
   11      11.000s     1.395e-01     1.375e-01   -2.009e-03
   12      12.000s     1.207e-01     1.123e-01   -8.431e-03
   13      13.000s     1.050e-01     9.169e-02   -1.330e-02
   14      14.000s     9.246e-02     7.487e-02   -1.759e-02
   15      15.000s     8.198e-02     6.113e-02   -2.085e-02
   16      16.000s     7.259e-02     4.992e-02   -2.267e-02
   17      17.000s     6.456e-02     4.076e-02   -2.380e-02
   18      18.000s     5.823e-02     3.328e-02   -2.494e-02
   19      19.000s     5.287e-02     2.718e-02   -2.569e-02
   20      20.000s     4.787e-02     2.219e-02   -2.568e-02
   21      21.000s     4.358e-02     1.812e-02   -2.546e-02
   22      22.000s     4.044e-02     1.480e-02   -2.564e-02
   23      23.000s     3.803e-02     1.208e-02   -2.594e-02
   24      24.000s     3.587e-02     9.867e-03   -2.600e-02
   25      25.000s     3.417e-02     8.057e-03   -2.612e-02
   26      26.000s     3.321e-02     6.579e-03   -2.663e-02
   27      27.000s     3.268e-02     5.372e-03   -2.731e-02
   28      28.000s     3.241e-02     4.386e-03   -2.802e-02
   29      29.000s     3.283e-02     3.582e-03   -2.925e-02
   30      30.000s     3.433e-02     2.925e-03   -3.141e-02

============================================================

