SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/58/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 114 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.210e+00    -3.857e-03  
T     =       7.394s      177.592s  

RSS   =    1.108e-02
SD    =    1.922e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.053e+00    5.296e-02
    2       2.000s     9.148e-01     9.193e-01    4.515e-03
    3       3.000s     8.276e-01     8.026e-01   -2.506e-02
    4       4.000s     7.360e-01     7.006e-01   -3.539e-02
    5       5.000s     6.440e-01     6.115e-01   -3.253e-02
    6       6.000s     5.587e-01     5.337e-01   -2.503e-02
    7       7.000s     4.825e-01     4.657e-01   -1.672e-02
    8       8.000s     4.137e-01     4.064e-01   -7.311e-03
    9       9.000s     3.519e-01     3.545e-01    2.658e-03
   10      10.000s     2.983e-01     3.092e-01    1.095e-02
   11      11.000s     2.532e-01     2.697e-01    1.651e-02
   12      12.000s     2.151e-01     2.351e-01    2.000e-02
   13      13.000s     1.832e-01     2.049e-01    2.171e-02
   14      14.000s     1.574e-01     1.786e-01    2.121e-02
   15      15.000s     1.366e-01     1.556e-01    1.897e-02
   16      16.000s     1.191e-01     1.355e-01    1.638e-02
   17      17.000s     1.039e-01     1.179e-01    1.402e-02
   18      18.000s     9.111e-02     1.026e-01    1.145e-02
   19      19.000s     8.060e-02     8.917e-02    8.563e-03
   20      20.000s     7.151e-02     7.747e-02    5.956e-03
   21      21.000s     6.346e-02     6.725e-02    3.794e-03
   22      22.000s     5.679e-02     5.833e-02    1.539e-03
   23      23.000s     5.161e-02     5.054e-02   -1.072e-03
   24      24.000s     4.743e-02     4.374e-02   -3.692e-03
   25      25.000s     4.395e-02     3.780e-02   -6.156e-03
   26      26.000s     4.144e-02     3.261e-02   -8.832e-03
   27      27.000s     4.015e-02     2.808e-02   -1.207e-02
   28      28.000s     4.002e-02     2.413e-02   -1.589e-02
   29      29.000s     4.091e-02     2.068e-02   -2.023e-02
   30      30.000s     4.254e-02     1.767e-02   -2.487e-02

============================================================

