SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/91/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 351 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.257e+00     7.934e-02  
T     =       3.467s       25.114s  

RSS   =    2.123e-03
SD    =    8.413e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.018e+00    1.813e-02
    2       2.000s     8.039e-01     7.791e-01   -2.477e-02
    3       3.000s     6.151e-01     5.994e-01   -1.572e-02
    4       4.000s     4.622e-01     4.641e-01    1.863e-03
    5       5.000s     3.501e-01     3.621e-01    1.206e-02
    6       6.000s     2.707e-01     2.851e-01    1.442e-02
    7       7.000s     2.154e-01     2.269e-01    1.150e-02
    8       8.000s     1.771e-01     1.827e-01    5.671e-03
    9       9.000s     1.494e-01     1.492e-01   -2.527e-04
   10      10.000s     1.279e-01     1.235e-01   -4.425e-03
   11      11.000s     1.108e-01     1.038e-01   -6.952e-03
   12      12.000s     9.695e-02     8.865e-02   -8.298e-03
   13      13.000s     8.495e-02     7.684e-02   -8.112e-03
   14      14.000s     7.395e-02     6.759e-02   -6.361e-03
   15      15.000s     6.435e-02     6.027e-02   -4.086e-03
   16      16.000s     5.653e-02     5.440e-02   -2.131e-03
   17      17.000s     4.995e-02     4.965e-02   -3.025e-04
   18      18.000s     4.415e-02     4.573e-02    1.582e-03
   19      19.000s     3.953e-02     4.247e-02    2.945e-03
   20      20.000s     3.629e-02     3.971e-02    3.415e-03
   21      21.000s     3.381e-02     3.733e-02    3.514e-03
   22      22.000s     3.150e-02     3.525e-02    3.747e-03
   23      23.000s     2.954e-02     3.340e-02    3.861e-03
   24      24.000s     2.823e-02     3.175e-02    3.523e-03
   25      25.000s     2.731e-02     3.025e-02    2.938e-03
   26      26.000s     2.662e-02     2.887e-02    2.256e-03
   27      27.000s     2.651e-02     2.760e-02    1.086e-03
   28      28.000s     2.731e-02     2.641e-02   -8.956e-04
   29      29.000s     2.881e-02     2.530e-02   -3.511e-03
   30      30.000s     3.085e-02     2.425e-02   -6.606e-03

============================================================

