SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/99/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.241e+00     4.278e-02  
T     =       4.788s    74736175815822.031s  

RSS   =    8.479e-03
SD    =    1.681e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.050e+00    4.972e-02
    2       2.000s     8.861e-01     8.599e-01   -2.615e-02
    3       3.000s     7.522e-01     7.059e-01   -4.635e-02
    4       4.000s     6.138e-01     5.809e-01   -3.287e-02
    5       5.000s     4.869e-01     4.795e-01   -7.468e-03
    6       6.000s     3.840e-01     3.972e-01    1.317e-02
    7       7.000s     3.078e-01     3.304e-01    2.254e-02
    8       8.000s     2.531e-01     2.762e-01    2.310e-02
    9       9.000s     2.125e-01     2.322e-01    1.964e-02
   10      10.000s     1.818e-01     1.965e-01    1.463e-02
   11      11.000s     1.586e-01     1.675e-01    8.861e-03
   12      12.000s     1.405e-01     1.440e-01    3.490e-03
   13      13.000s     1.251e-01     1.249e-01   -2.097e-04
   14      14.000s     1.116e-01     1.094e-01   -2.172e-03
   15      15.000s     1.001e-01     9.687e-02   -3.207e-03
   16      16.000s     9.043e-02     8.667e-02   -3.754e-03
   17      17.000s     8.217e-02     7.840e-02   -3.771e-03
   18      18.000s     7.512e-02     7.169e-02   -3.436e-03
   19      19.000s     6.936e-02     6.624e-02   -3.119e-03
   20      20.000s     6.464e-02     6.182e-02   -2.825e-03
   21      21.000s     6.053e-02     5.823e-02   -2.300e-03
   22      22.000s     5.693e-02     5.532e-02   -1.610e-03
   23      23.000s     5.404e-02     5.295e-02   -1.090e-03
   24      24.000s     5.187e-02     5.104e-02   -8.372e-04
   25      25.000s     5.018e-02     4.948e-02   -6.965e-04
   26      26.000s     4.893e-02     4.822e-02   -7.172e-04
   27      27.000s     4.839e-02     4.719e-02   -1.194e-03
   28      28.000s     4.861e-02     4.636e-02   -2.254e-03
   29      29.000s     4.941e-02     4.569e-02   -3.722e-03
   30      30.000s     5.053e-02     4.514e-02   -5.396e-03

============================================================

